Recipe Name,Ingredients,Time to cook,Cuisine,Instructions,Cleaned-Ingredients,Ingredient-count,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"1 Onion - sliced,1 teaspoon White Urad Dal (Split),2 Green Chillies,Salt - to taste,1 teaspoon Lemon juice,1 teaspoon Ghee,1 teaspoon Mustard seeds,1/3 cup Green peas (Matar),1/4 teaspoon Asafoetida (hing),1/2 cup Carrots (Gajjar) - chopped,1 sprig Curry leaves,1-1/2 cups Rice Vermicelli Noodles (Thin)",50,South Indian Recipes,"To begin making the Ragi Vermicelli Recipe, first steam the ragi vermicelli in a rice cooker or a steamer for about 5-6 minutes or till it is cooked but firm.Keep aside this aside till later use.
You can add a few drops of oil and mix it so that they don't stick to each other.Place a kadai on the heat, add the ghee or oil to it and when warm add hing and allow it to sizzle for 30 seconds.
Then follow it up with mustard seeds, urad dal and curry leaves, and allow them to crackle.Saute for 1 minute or so till the urad dal is slightly browned.Then, add onions and fry till translucent and soft.Next, add the green chillies along with par boiled carrots and peas.
Sprinkle some salt and cook for 2-3 minutes or until the vegetables are semi cooked.Then, add the steamed ragi vermicelli toss it together so the vegetables are all well combined.Switch off the heat, take the vermicelli out into a serving dish and to with lemon juice.
Mix well and serve along with Coconut Chutney and a hot cup of coffee or tea for a wholesome breakfast.","salt,rice vermicelli noodles (thin),asafoetida (hing),mustard seeds,ghee,green peas (matar),carrot,curry leaves,white urad dal (split),onion,lemon,green chillies",12,149.11,16.88,3.11,7.45,1.4,3.21,101.8,20.3,0.93,4.64,12.64
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander (Dhania) Seeds,4 Dry Red Chillies,1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic,1 teaspoon Garam masala powder,Salt - to taste,2 tablespoon Sesame (Gingelly) Oil,4 Green Chillies - slit,500 grams Chicken,6 cloves Garlic - finely chopped,1 teaspoon Fennel seeds (Saunf),2 Onion - chopped,2 cups Sorrel Leaves (Gongura) - picked and chopped,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 inch Ginger - finely chopped,1 Tomato - chopped",45,Andhra,"To begin making Gongura Chicken Curry Recipe first prep all the ingredients and keep them aside.In a small pan, dry roast the methi seeds, coriander seeds, fennel seeds and red chillies for about 3 to 4 minutes on medium heat, until you notice the seeds crackling.
Once done, turn off the heat and allow it to cool a bit and blend it into a smooth powder.Heat oil in a pressure cooker over medium heat; add the chopped onions, ginger, garlic and green chillies and saute until the onions are lightly browned and tender.Add the tomatoes, and saute until the tomatoes become soft and mushy.
Once done add the chicken, the garam masala and turmeric powder.
Add 1/4 cup of water and pressure cook the chicken for 3 to 4 whistles and turn off the heat.Once done, allow the pressure to release naturally.Make sure there are no stems when you pick the gongura leaves.
Wash and chop the gongura leaves and keep aside.In another pan,add some oil along garlic and saute the chopped gongura leaves along with a little salt and the ground masala.
The gongura leaves will wilt almost instantly.
Saute the gongura in the masala for about 3 to 4 minutes until it becomes like a mushy paste.Once done, add the cooked chicken curry into the Gongura masala and saute on high heat for another 2 minutes and turn off the heat.Check the salt and spices and adjust according to taste.
Transfer the Gongura Chicken Curry to a serving bowl and serve hot.Serve Gongura Chicken with Ghee Rice Recipe | Neychoru , Tomato Onion Cucumber Raita Recipe and a Semiya Payasam for a delicious weekend lunch.","tomato,salt,ginger,sorrel leaves (gongura),fennel seeds (saunf),sesame (gingelly) oil,cloves garlic,coriander (dhania) seeds,onion,chicken,methi seeds (fenugreek seeds),dry red chillies,turmeric powder,green chillies,garam masala powder",15,129.22,3.38,11.79,7.57,1.79,1.41,108.0,27.29,0.87,16.79,38.7
Spicy Crunchy Masala Idli Recipe,"Mint Leaves (Pudina) - to taste,1/2 teaspoon Turmeric powder (Haldi),3 tablespoons Tomato Ketchup,2 teaspoons Sunflower Oil,1 cup Tomato - finely chopped,Coriander (Dhania) Leaves - to taste,Salt - to taste,2 Green Chillies - finely chopped,1 cup Green Bell Pepper (Capsicum) - thinly sliced,10 Idli - cut into strips,1/4 teaspoon Red Chilli powder,1 cup Onions - finely chopped",30,South Indian Recipes,"To prepare Spicy Crunchy Masala Idli Recipe, Heat a tablespoon of oil in a heavy bottomed pan and stir fry them until they are lightly crisp.
Transfer to a bowl and keep aside.In 2 teaspoons of oil the same pan; add in the onions, capsicum, green chillies and saute them on medium heat until tender.
This takes about 5 to 7 minutes.
 Add in the chopped tomatoes, salt, pepper, turmeric powder, chilli powder and stir well.
Saute until the tomatoes turn soft.
Finally stir in the tomato ketchup, the fried idli's the chopped coriander and mint leaves.
Stir fry on high heat until well combined just for about a minute.Turn off the heat and transfer the Spicy Crunchy Masala Idli Recipe to a serving bowl and serve hot topped with more date chutney or tomato ketchup.","tomato,salt,coriander (dhania) leaves,idli,red chilli powder,tomato ketchup,onion,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,green chillies,sunflower oil",12,137.54,28.18,4.64,0.33,0.28,2.31,100.83,8.0,0.68,0.0,2.95
Cauliflower Leaves Chutney (Recipe in Hindi)," 3 cloves garlic, 1 big Spoon oil, 2 tablespoons white urad dal, 1 teaspoon Rye,1 cup cabbage leaves, turmeric powder - a pinch, asafoetida - a pinch, 1/2 teaspoon Cumin seeds, 18 grams tamarind, salt - as per taste, 3/4 cup tomatoes, 1 sprig Curry leaves, 4 red chillies",25,South Indian Recipes,"To make cauliflower leaf chutney, first of all take out the leaf inside the cabbage and wash it well.
Dry and cut it well.
Heat the oil in a pan.
Add urad dal, dry red chilli and cook till the dal turns golden.
Keep it aside.
Add some more oil to the same pan.
Add cabbage leaves, salt and cook till the leaves become soft.
Now add tomatoes, garlic and mix well.
Cook until tomatoes are soft.
After cooking, turn off the gas and allow this mixture to cool.
Pour it into a mixer grinder with the dal mixture and grind it.
Add some water and salt and grind it once more.
For tempering, add mustard seeds to a tempering pan.
After 10 seconds, add cumin, asafoetida and curry leaves.
After 15 seconds, add it to the chutney and mix.
Serve Cabbage Leaves Chutney with Vegetable Sambar and Rice for dinner.","tomato,salt,turmeric powder,red chillies,spoon oil,rye,asafoetida,cloves garlic,curry leaves,cabbage leaves,tamarind,cumin seeds,white urad dal",13,90.95,3.97,5.21,5.88,1.47,2.4,194.22,100.19,0.92,71.55,88.46
And fish soup recipe - Bengali style fish in tomato gravy,"1-1/2 tablespoons Ginger - paste,1-1/4 cups Water - add 2 cups if you like a loose gravy,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),Salt - to taste,4 Green Chillies - coarsely crushed,1 Tomato - finely chopped,Mustard oil - as required,1 teaspoon Coriander Powder (Dhania),1 tablespoon Coriander (Dhania) Leaves - optional,2 Bay leaves (tej patta),Sugar - a pinch (optional),600 grams Aar Maach (fish) - rohu/ katla fish (cut into thick steaks),1/2 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit lengthwise",20,Bengali Recipes,"To begin making the Aar Macher Jhol Recipe, firstly marinate the fish with salt and turmeric powder.Heat oil in a wok and shallow fry the fish on both sides till they turn crispy and golden.
Remove and keep aside.Into the same wok, add bay leaves and cumin seeds.
Fry these for 1 minute and add the chopped tomatoes.Sauté well.
Into this Bengali Style Fish Gravy, add turmeric powder, cumin powder, coriander powder and enough salt and sauté till tomatoes soften.
Add the ginger paste and coarsely crushed green chilies.
Sauté till raw smell goes away and oil floats.Now add the water and allow the Fish gravy to come to a boil.
Once the gravy starts boiling, add the fried fish and cook covered till fish has cooked through.
[This should take about 6 to 8 minutes approximately]Once the fish has cooked through, add the slit green chilies, adjust salt if necessary and add sugar to taste.
Allow it to cook for 5 minutes.Garnish this Bengali Fish Curry with coriander leaves and serve hot.
Serve piping hot Aar Macher Jhol – Fish In Spicy Tomato Gravy along with Steamed Rice and Begun Bhaja for a weekday lunch or dinner.
Enjoy!","tomato,salt,cumin powder (jeera),coriander powder,bay leaves (tej patta),mustard oil,coriander (dhania) leaves,water,sugar,cumin seeds (jeera),ginger paste,turmeric powder,green chillies,aar maach (fish) rohu katla fish (cut steaks)",14,489.79,3.18,2.39,51.91,1.35,0.72,91.47,6.46,0.24,75.09,76.88
Saunf Aloo (Fennel Potato Curry) Recipe,"1/4 cup Fresh cream - or 1/2 cup milk,5 Potatoes (Aloo) - halved with skin,2 teaspoon Fennel seeds (Saunf) - crushed,4 sprig Coriander (Dhania) Leaves - finely chopped,1 teaspoon Turmeric powder (Haldi),2 teaspoon Red Chilli powder",25,Punjabi,"To begin with Saunf Aloo, heat oil in a pressure cooker.
Add turmeric powder, salt, red chilli powder and crushed fennel seeds till the fennel seeds turns golden in colour.Now add the potatoes and mix it properly with the masala.
Sauce it for 2-3 minutes and then add enough water to cover the potatoes in the cooker.Switch the heat after two whistles and once the pressure is released, open the lid of the pressure cooker.The next step is to add the cream or milk and mash a few potatoes to get a thicker consistency.
Let it cook for 5 more minutes or until the cooker releases 2 more whistles.Garnish the Saunf Aloo with some roasted saunf and chopped coriander.
Serve Sauf Aloo along with Amritsari Dal and Whole Wheat lachha Paratha for a weekday meal.","fennel seeds (saunf),potato (aloo) skin,milk,red chilli powder,coriander (dhania) leaves,turmeric powder",6,455.4,2.78,0.56,49.08,0.63,0.56,30.12,7.77,0.26,46.64,48.57
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"2 cups Coriander (Dhania) Leaves - tightly packed,4 cloves Garlic,1 inch Ginger - chopped,1 teaspoon Garam masala powder,1 Cinnamon Stick (Dalchini) - small,2 Green Chillies - chopped,1 Onion - roughly chopped,1 tablespoon Sunflower Oil,2 Cloves (Laung),1 Bay leaf (tej patta),4 Whole Eggs - boiled,2 tablespoons Fresh cream,1 cup Mint Leaves (Pudina) - chopped,2 teaspoons Coriander Powder (Dhania)",35,Indian,"To begin making the Hariyali Egg Curry recipe, we will first make the Hariyali Masala.Into the Mixer Grinder (medium jar), add the Coriander leaves mint leaves, Green Chillies and 1/2 cup water.
Blend all of them together to make a smooth paste and keep aside.Into the small jar of the mixer grinder, add the onions, ginger and garlic and grind to make a paste.
Heat 1 tablespoon oil in a kadai over medium heat, add the Bay leaf (tej patta), Cloves, Cinnamon Stick and roast for a few seconds.
Add the Onion ginger garlic paste.Saute for 4 to 5 minutes until raw onion smell goes away.Once the onions are roasted, add garam masala powder, coriander powder and saute for a few seconds.Add the Hariyali Coriander Mint Mixture, the fresh cream and the 4 Boiled eggs.Add water if required to adjust the consistency of the Hariyali Egg Curry.
 Cover & simmer the Hariyali Egg Curry for 5 minutes.Check the salt and spices and adjust to according to your taste and transfer the Hariyali Egg Curry into a serving bowl.
Serve the Hariyali Egg Curry along with Malabar Parotta or  Whole Wheat Lachha Paratha and Burani Raita for a weeknight dinner.","green chillies,ginger,bay leaf (tej patta),coriander (dhania) leaves,mint leaves (pudina),cloves garlic,cinnamon stick (dalchini),onion,coriander powder,eggs,cloves (laung),garam masala powder,sunflower oil",13,117.52,4.03,5.38,8.81,1.9,2.09,142.12,41.59,1.52,19.03,44.73
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe," 1/4 cup mint leaves - finely chopped, 2 cloves garlic - tighten, 1 tsp turmeric powder, 1 tsp fennel , 12 green beans - chop, 1 tsp coriander seeds, 1 inch ginger - tighten, 2 cloves, 1 inch cinnamon, 1/4 cup green peas - steam,1 cup rice - wash well in water, ghee - as per use, 1 tsp whole pepper, 1 bay leaf - break , 2 potatoes - peel and chop, 1 carrot - chop, 12 small onions - finely chopped, 1 tsp red chilli powder, 2 green chillies - straight and thin cut",60,Chettinad,"To make Chettinad vegetable casserole, first cut all the vegetables.
Soak rice for 30 minutes.
Heat a pan on gas.
Add long, cinnamon, fennel, whole black pepper, coriander seeds, and roast for 2 to 3 minutes.
Turn off the gas and allow this spice mixture to cool.
After it cools down, put it in a blender and grind it.
Keep it aside.
Now heat ghee in a pan.
Add ginger, garlic, onion, green chilies and cook till the onion becomes soft.
After the onion becomes soft, add carrots, green beans, potatoes, bay leaves, turmeric powder, red chilli powder, ground spices and mix well.
After 2 minutes, add rice, salt, 2 cups of water and let it boil.
After boiling, reduce the heat, cover the pan and cook until the rice is cooked.
If the rice remains raw, then add some more water and cook it.
After cooking, turn off the gas, cover and keep it aside for 10 minutes.
Serve.
Serve Chettinad Vegetable Casserole Recipe along with Bundi Raita and Baked Papad for dinner.","turmeric powder,ginger,rice,ghee,cinnamon,fennel,red chilli powder,cloves garlic,carrot,green beans,onion,bay leaf break,mint leaves,potatoes,pepper,cloves,coriander seeds,green chillies,green peas",19,113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,"2 Tomatoes - thinly sliced,1 Beetroot - grated,1/2 cup Hung Curd (Greek Yogurt),2 Submarine Bread (Subway Bread) - (flat breads or foot longs),2 cloves Garlic - grated,Tabasco Original - Hot Sauce - to taste,Salt and Pepper - to taste,2 Stalks Spring Onion (Bulb & Greens) - finely chopped,1/2 cup Green Moong Sprouts,2 tablespoon Coriander (Dhania) Leaves - finely chopped",30,Fusion,"To begin making Subway Sandwich Recipe With Roasted Beetroot, we will first cook the beets.Heat a teaspoon of oil in a wok; add the grated beets and garlic, sprinkle some salt and stir fry on low to medium heat until the beets are softened and cooked.Once you notice the beetroot is cooked through, turn off the heat and allow it to cool completely.Once the beetroot has cooled completely, add it to a large mixing bowl.
To this add in the greek yogurt/ hung curd, coriander leaves, spring onions along with salt and pepper to taste.
Give the mixture a good stir.
Keep this aside.In the next step toast the subway bread or the foot long along with butter in a skillet until lightly warmed and crisp.
You can use butter or olive oil for toasting.
Make sure you cut them into half and then toast.Once once, the next step is to layer the Subway Sandwich With Roasted Beetroot.Place the cut and toasted subway bread on a flat surface.Spread the beetroot mixture on one half of the sandwich, scatter the sliced tomatoes, the green moong sprouts and drizzle some tabasco sauce for a punch.
Now cover the Subway Sandwich With Roasted Beetroot by pressing it down with the other half and serve.Serve the Subway Sandwich Recipe With Roasted Beetroot for a wholesome weeknight dinner or even as an after school snack for your kids along with a Apple Almond Date Smoothie.
You can also pack this sandwich into an office lunchbox.","tomato,salt,hung curd (greek yogurt),stalks spring onion (bulb greens),coriander (dhania) leaves,tabasco original sauce,green moong sprouts,cloves garlic,pepper,beetroot,submarine bread (subway bread) (flat breads foot s)",11,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"Ice cubes - a few,3 tablespoons Milk - luke warm+more cold milk as needed,1 cup Curd (Dahi / Yogurt) - (low fat),3/4 cup Mango Pulp (Puree),2 pinch Saffron strands,1 tablespoon Sugar - or honey,3 tablespoons Badam (Almond) - roughly chopped",25,Indian,"To begin making Kesar Mango Lassi Recipe, soak one pinch kesar in 2 tablespoons warm milk and keep it aside for few minutes.Get prep with other ingredients as well.
Take out the pulp from the mangoes and keep aside.In a blender, add mango pulp, curd/yogurt, cold milk and blend till combined.Once it is done, add chopped almonds (2 tablespoons), honey or sugar, some ice cubes and blend to make the Kesar Mango Lassi Recipe.Kesar Mango Lassi Recipe is ready to serve, garnish it with the rest of chopped almonds and saffron and serve with Bhel Puri Recipe or Asian Watermelon Salad Recipe during evening.","mango pulp (puree),milk cold milk,ice cubes,saffron strands,curd,badam (almond)",6,458.61,59.7,6.05,22.01,22.42,1.9,5.65,25.71,1.23,0.01,1.1
